"filename", "language", "Python", "CSV", "TSV", "comment", "blank", "total"
"c:\code\pytorch-tutorial\01.quickstart.py", "Python", 80, 0, 0, 33, 32, 145
"c:\code\pytorch-tutorial\02.tensors.py", "Python", 32, 0, 0, 31, 30, 93
"c:\code\pytorch-tutorial\03.dataset_and_dataloader.py", "Python", 39, 0, 0, 6, 14, 59
"c:\code\pytorch-tutorial\04.transforms.py", "Python", 15, 0, 0, 6, 5, 26
"c:\code\pytorch-tutorial\05.build_the_neural_network.py", "Python", 24, 0, 0, 7, 10, 41
"c:\code\pytorch-tutorial\06.automatic_differentiation.py", "Python", 18, 0, 0, 48, 15, 81
"c:\code\pytorch-tutorial\07.optimizing_model_paramters.py", "Python", 68, 0, 0, 7, 19, 94
"c:\code\pytorch-tutorial\08.save_and_load_the_model.py", "Python", 9, 0, 0, 10, 10, 29
"c:\code\pytorch-tutorial\09.02.learning_pytorch_with_examples.py", "Python", 220, 0, 0, 237, 115, 572
"c:\code\pytorch-tutorial\09.03.what_is_torch_nn_ready.py", "Python", 264, 0, 0, 167, 139, 570
"c:\code\pytorch-tutorial\09.04.visualizing_models.py", "Python", 150, 0, 0, 41, 52, 243
"c:\code\pytorch-tutorial\10.01.torch_object_detection.py", "Python", 72, 0, 0, 29, 27, 128
"c:\code\pytorch-tutorial\10.02.transfer_learning.py", "Python", 141, 0, 0, 47, 58, 246
"c:\code\pytorch-tutorial\10.03.adversarial_example_generation.py", "Python", 108, 0, 0, 90, 47, 245
"c:\code\pytorch-tutorial\10.04.dcgan.py", "Python", 192, 0, 0, 94, 60, 346
"c:\code\pytorch-tutorial\10.05.spatial_transformer_networks.py", "Python", 123, 0, 0, 46, 42, 211
"c:\code\pytorch-tutorial\10.06.optimizing_vision_tranformer_model_for_deployment.py", "Python", 76, 0, 0, 59, 37, 172
"c:\code\pytorch-tutorial\11.01.audio_io.py", "Python", 151, 0, 0, 96, 70, 317
"c:\code\pytorch-tutorial\11.02.audio_resampling.py", "Python", 243, 0, 0, 80, 67, 390
"c:\code\pytorch-tutorial\11.03.audio_data_augmentation.py", "Python", 127, 0, 0, 22, 38, 187
"c:\code\pytorch-tutorial\12.01.language_modeling.py", "Python", 156, 0, 0, 84, 46, 286
"c:\code\pytorch-tutorial\12.02.classifying_names_with_character_level_rnn.py", "Python", 172, 0, 0, 79, 86, 337
"c:\code\pytorch-tutorial\12.03.generating_names_with_character_level_rnn.py", "Python", 160, 0, 0, 56, 82, 298
"c:\code\pytorch-tutorial\12.04.translation_with_seq2seq_and_attention.py", "Python", 305, 0, 0, 143, 136, 584
"c:\code\pytorch-tutorial\data\pokemon\pokemon.csv", "CSV", 0, 810, 0, 0, 1, 811
"c:\code\pytorch-tutorial\runs\fashion_mnist_experiment_1\00000\default\metadata.tsv", "TSV", 0, 0, 100, 0, 1, 101
"c:\code\pytorch-tutorial\runs\fashion_mnist_experiment_1\00000\default\tensors.tsv", "TSV", 0, 0, 100, 0, 1, 101
"Total", "-", 2945, 810, 200, 1518, 1240, 6713
